




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4862)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
snRNA metabolic process (GO:0016073)	47	25	11.10	+	2.25	2.24E-03	4.20E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	29	18	6.85	+	2.63	2.26E-03	4.22E-02
skeletal system development (GO:0001501)	479	79	113.08	-	.70	2.26E-03	4.22E-02
granulocyte migration (GO:0097530)	95	8	22.43	-	.36	2.30E-03	4.29E-02
killing of cells of other organism (GO:0031640)	87	7	20.54	-	.34	2.31E-03	4.30E-02
chemokine-mediated signaling pathway (GO:0070098)	80	6	18.89	-	.32	2.31E-03	4.30E-02
apoptotic signaling pathway (GO:0097190)	281	96	66.34	+	1.45	2.32E-03	4.32E-02
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	37	61.85	-	.60	2.33E-03	4.33E-02
regulation of cellular extravasation (GO:0002691)	32	0	7.55	-	 < 0.01	2.35E-03	4.34E-02
protein-lipid complex remodeling (GO:0034368)	32	0	7.55	-	 < 0.01	2.35E-03	4.34E-02
plasma lipoprotein particle remodeling (GO:0034369)	32	0	7.55	-	 < 0.01	2.35E-03	4.35E-02
tRNA methylation (GO:0030488)	43	23	10.15	+	2.27	2.47E-03	4.56E-02
lytic vacuole organization (GO:0080171)	72	33	17.00	+	1.94	2.55E-03	4.67E-02
lysosome organization (GO:0007040)	72	33	17.00	+	1.94	2.55E-03	4.67E-02
ncRNA catabolic process (GO:0034661)	34	20	8.03	+	2.49	2.55E-03	4.67E-02
phosphorylation (GO:0016310)	877	256	207.04	+	1.24	2.56E-03	4.68E-02
regulation of double-strand break repair (GO:2000779)	85	37	20.07	+	1.84	2.56E-03	4.68E-02
regulation of transcription by RNA polymerase I (GO:0006356)	34	20	8.03	+	2.49	2.55E-03	4.68E-02
tRNA export from nucleus (GO:0006409)	34	20	8.03	+	2.49	2.55E-03	4.69E-02
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	34	20	8.03	+	2.49	2.55E-03	4.69E-02
nuclear DNA replication (GO:0033260)	54	27	12.75	+	2.12	2.54E-03	4.69E-02
pre-mRNA cleavage required for polyadenylation (GO:0098789)	13	11	3.07	+	3.58	2.58E-03	4.70E-02
mitochondrial transcription (GO:0006390)	13	11	3.07	+	3.58	2.58E-03	4.71E-02
regulation of mitotic sister chromatid separation (GO:0010965)	66	31	15.58	+	1.99	2.59E-03	4.73E-02
carbohydrate derivative metabolic process (GO:1901135)	1008	290	237.97	+	1.22	2.62E-03	4.77E-02
xenobiotic metabolic process (GO:0006805)	113	11	26.68	-	.41	2.67E-03	4.85E-02
negative regulation of sister chromatid segregation (GO:0033046)	30	18	7.08	+	2.54	2.70E-03	4.89E-02
response to decreased oxygen levels (GO:0036293)	361	118	85.22	+	1.38	2.70E-03	4.89E-02
negative regulation of mitotic sister chromatid segregation (GO:0033048)	30	18	7.08	+	2.54	2.70E-03	4.89E-02
negative regulation of mitotic sister chromatid separation (GO:2000816)	30	18	7.08	+	2.54	2.70E-03	4.90E-02
vesicle targeting (GO:0006903)	94	40	22.19	+	1.80	2.71E-03	4.90E-02
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	42	1	9.92	-	.10	2.72E-03	4.91E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	9.92	-	.10	2.72E-03	4.91E-02
regulation of interleukin-10 production (GO:0032653)	57	3	13.46	-	.22	2.76E-03	4.97E-02
regulation of chromosome separation (GO:1905818)	73	33	17.23	+	1.91	2.76E-03	4.97E-02
regulation of DNA biosynthetic process (GO:2000278)	110	45	25.97	+	1.73	2.77E-03	4.98E-02
response to stress (GO:0006950)	3626	946	856.01	+	1.11	2.78E-03	4.98E-02
